City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,sechura,-5.5569,-80.8222,28.48,62,96,7.13,PE,1706476541
309,lincoln,40.8,-96.667,7.95,53,0,2.57,US,1706476462
310,eastham,41.8301,-69.9739,5.01,86,100,6.69,US,1706476542
311,turpan,42.9333,89.1667,-4.44,52,44,0.63,CN,1706476542
312,swainsboro,32.5974,-82.3337,14.36,54,100,6.69,US,1706476542
313,kashin,57.3592,37.6081,-12.62,99,93,2.84,RU,1706476542
314,concepcion,-36.827,-73.0498,21.2,56,27,4.17,CL,1706476321
315,bandon,51.7469,-8.7425,6.77,90,100,6.15,IE,1706476434
316,petropavlovsk-kamchatsky,53.0452,158.6483,-9.75,87,20,4.0,RU,1706476543
317,fort bragg,35.139,-79.006,15.46,56,100,8.75,US,1706476543
318,padang,-0.9492,100.3543,25.03,83,77,2.1,ID,1706476543
319,birzebbuga,35.8258,14.5269,13.42,71,75,2.06,MT,1706476544
320,wuhai,39.6647,106.8122,-9.66,53,4,1.9,CN,1706476544
321,kolyvan',55.3053,82.7391,-12.21,98,100,1.71,RU,1706476544
322,vila franca do campo,37.7167,-25.4333,12.23,67,67,1.81,PT,1706476544
323,coquimbo,-29.9533,-71.3436,20.14,75,5,3.49,CL,1706476405
324,puerto aysen,-45.4,-72.7,21.69,29,14,2.84,CL,1706476545
325,sretensk,52.2453,117.7093,-34.53,100,47,0.29,RU,1706476545
326,olyokminsk,60.3736,120.4264,-40.1,100,89,0.14,RU,1706476545
327,salalah,17.0151,54.0924,25.05,83,40,1.54,OM,1706476545
328,coalcoman de vazquez pallares,18.7833,-103.15,31.72,15,5,1.41,MX,1706476546
329,yelizovo,53.1873,158.3805,-9.0,79,20,4.0,RU,1706476546
330,grand gaube,-20.0064,57.6608,26.32,91,32,1.34,MU,1706476546
331,saldanha,-33.0117,17.9442,20.03,87,100,1.83,ZA,1706476546
332,navirai,-23.065,-54.1906,30.18,33,66,0.75,BR,1706476547
333,lhasa,29.65,91.1,-5.87,38,95,0.8,CN,1706476547
334,dongola,19.1667,30.4833,16.05,34,85,5.03,SD,1706476547
335,laojunmiao,39.8333,97.7333,-6.33,24,4,1.89,CN,1706476547
336,kolonia town,6.964,158.206,28.0,69,75,3.09,FM,1706476548
337,tamanrasset,22.785,5.5228,12.95,10,0,3.09,DZ,1706476548
338,margate,51.3813,1.3862,8.26,83,100,3.13,GB,1706476548
339,gizo,-8.103,156.8419,27.66,79,100,4.27,SB,1706476548
340,westport,41.1415,-73.3579,4.2,93,100,5.66,US,1706476549
341,la passe,45.5549,-0.8967,12.13,85,56,7.16,FR,1706476549
342,villa juarez,24.6536,-107.5411,32.14,31,0,3.6,MX,1706476549
343,mek'ele,13.4967,39.4753,16.12,82,93,2.12,ET,1706476549
344,selkirk,50.1436,-96.8845,1.21,76,36,0.89,CA,1706476549
345,prince albert,53.2001,-105.7677,-1.03,74,75,1.03,CA,1706476550
346,mandan,46.8267,-100.8896,8.99,76,0,4.12,US,1706476364
347,fort st. john,56.2499,-120.8529,6.94,61,75,6.69,CA,1706476445
348,toktogul,41.8708,72.9402,2.11,79,100,0.67,KG,1706476550
349,acarau,-2.8856,-40.12,27.92,79,47,7.56,BR,1706476551
350,i-n-salah,27.1935,2.4607,18.66,18,0,6.88,DZ,1706476551
351,villa gesell,-37.2639,-56.973,24.47,67,89,7.55,AR,1706476551
352,tortoli,39.9256,9.6572,10.9,87,0,4.63,IT,1706476551
353,agadez,19.75,10.25,16.39,19,0,2.96,NE,1706476551
354,barcelos,41.5388,-8.6151,17.08,75,100,2.2,PT,1706476552
355,berezanskaya,45.7056,39.5932,1.54,97,100,3.48,RU,1706476552
356,boguchany,58.3814,97.4531,-30.08,98,34,1.79,RU,1706476552
357,hakha,22.65,93.6167,4.47,53,2,0.92,MM,1706476552
